Name,DataType,Address,Comment [en-GB],Acquisition mode,Acquisition cycle
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_1_PID_FAN_SPD_OUT_4,Real,%DB40.DBD64,STOKER PID AIR FAN SPEED OUTPUT 4,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.FEED_LINE.CP18_K91,Bool,%DB45.DBX8.2,CP18 STOKER FUEL/FIRE DAMPER CONTROL VALVE 1CV05,Cyclic in operation,1 s
CP7 4PU01/02 SELECT,Bool,%M142.0,CP7 BOILER FEED PUMP DUTY REQUEST (SCADA) (0=MAIN. 1=STANDBY),Cyclic in operation,1 s
DB ALARM SETPOINTS.CP19_2LT01.LO,Real,%DB41.DBD2664,LOW ALARM SETPOINT,Cyclic in operation,1 s
DB SEND/RECV COOLER 5.RECV.GENERAL.PUMP_STATUS,Int,%DB165.DBW2,COOLER PUMP STATUS,Cyclic in operation,1 s
ALL EMSTOPS OK,Bool,%M40.0,ALL EMERGENCY STOPS HEALTHY,Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.BURNER.RECIRC_DAMPER_OPN,Bool,%DB1.DBX38.3,CP13 RECIRCULATION AIR DAMPER MANUAL OPEN SELECT (SCADA),Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.BURNER.BURN_PRESS_THRESHLD,Real,%DB40.DBD396,COMBUSTION CHAMBER VACUUM (PRESSURE) FAULT THRESHOLD (mBar) ,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP13R4_3TI01d.HYST,Real,%DB41.DBD1168,ALARM HISTERESYS,Cyclic in operation,1 s
DB MV TURB POWER METER.M6_PAC3200.I1,Real,%DB202.DBD24,CURRENT PHASE 1 (AMPS),Cyclic in operation,1 s
DB ALARMS.SYSTEM.WORD1.CP8_PSSu_HEALTHY,Bool,%DB11.DBX1.3,CP8 SOOTBLOWER SAFETYBUS NODE HEALTHY (192.168.2.108),Cyclic in operation,1 s
DB SEND/RECV COOLER 2.RECV.ADIABATIC.STATUS,Int,%DB162.DBW30,ADIABATIC SYSTEM STATUS,Cyclic in operation,1 s
IDB PLC.PLC.LEDs.RUN,Bool,%DB2.DBX52.2,CPU Running Status,Cyclic in operation,1 s
DB SETPOINTS.PID.PRESS_CTRL_STEAM_OUT.OP_SCALE,Real,%DB40.DBD1656,OUTPUT SCALE FACTOR (LMN_FAC),Cyclic in operation,1 s
DB LV GEN POWER METER.M5_PAC3200.HZ,Real,%DB201.DBD84,FREQUENCY (HZ),Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_1_SPD_MAX,Real,%DB40.DBD128,STOKER MAXIMUM SPEED,Cyclic in operation,1 s
DB PROCESS VALUES.ANALOGUE.INSTRUMENTS.CP13R4_3TI01a,Real,%DB42.DBD124,CP13 RACK 4 FILTER 1 INLET AIR TEMPERATURE (4..20mA = -50 - +300ºC),Cyclic in operation,1 s
DB SETPOINTS.PID.BICARB_FEED.OP_SCALE,Real,%DB40.DBD1794,OUTPUT SCALE FACTOR (LMN_FAC),Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.SOOTBLOWERS.SPRHEAT_1_RET,Bool,%DB1.DBX18.2,CP8 SUPERHEATER SOOTBLOWER 1 MANUAL RETRACT SELECT (SCADA),Cyclic in operation,1 s
DB ALARMS.ANALOGUE.OPN_SHT.WORD3.CP13R4_3PI01b,Bool,%DB11.DBX12.2,CP13 RACK 4 FILTER 2 INLET PRESSURE,Cyclic in operation,1 s
DB ALARMS.ANALOGUE.OPN_SHT.WORD2.CP13R4_3PI01a,Bool,%DB11.DBX11.6,CP13 RACK 4 FILTER 1 INLET PRESSURE,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP17_4TT01.LO,Real,%DB41.DBD1896,LOW ALARM SETPOINT,Cyclic in operation,1 s
DB PROCESS VALUES.PID.BOILER_FEED_WATER_VLV.CURR_SP,Real,%DB42.DBD1592,CURRENT RAMP SETPOINT,Cyclic in operation,1 s
DB SETPOINTS.PID.STOKER_1.RAMP_EN,Bool,%DB40.DBX1480.2,RAMP ENABLED (1=ENABLED),Cyclic in operation,1 s
DB ALARMS TO SCADA.SUPPLIES.WORD2,Int,%DB12.DBW88,POWER SUPPLY ALARMS - WORD 2,Continuous,1 s
2CV02TempPID_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB PROCESS VALUES.ANALOGUE.INSTRUMENTS.CP17_4FT01,Real,%DB42.DBD244,CP17 FEEDWATER FLOWMETER (4-20mA = 0-25 t/Hr),Cyclic in operation,1 s
IDB GR HYD PUMP 2 PBUS.Send.ControlWord,Word,%DB504.DBW8,Control Word,Cyclic in operation,1 s
DB SETPOINTS.PID.FEED_WTR_TANK_PRDS_CTRL.MANUAL_VAL,Real,%DB40.DBD1178,PID OUTPUT IN MANUAL (MAN),Cyclic in operation,1 s
DB ALARMS.PROCESS.WORD6.CP3_CHEM_TANK_3_LVL_LO,Bool,%DB11.DBX114.7,CP3 HIGH PRESSURE PUMP CHEMICAL TANK LEVEL LOW ALARM,Cyclic in operation,1 s
DB PROCESS VALUES.PID.BICARB_FEED.OUTPUT,Real,%DB42.DBD1968,OUTPUT VALUE,Cyclic in operation,1 s
ID FAN OK AUTOSTART,Bool,%M106.0,ID FAN READY / AVAILABLE FOR SYSTEM AUTO START,Cyclic in operation,1 s
CP2 PUSH FLR AT FWD,Bool,%M54.5,CP2 PUSH FLOOR FULLY FORWARD DETECTED,Cyclic in operation,1 s
IDB PLC.Profibus.Nodes.Node_45,Bool,%DB2.DBX299.4,Profibus Node,Cyclic in operation,1 s
DB CP12 TURBINE.BLOCK3.BEARING_TEMP_10,DInt,%DB400.DBD136,TURBINE BEARING TEMPERATURE POS 84.10 DEG C (x100),Cyclic in operation,1 s
IDB CP13 PAC AGITATOR.Rem_Cmds.RemoteCtrl,Bool,%DB143.DBX18.0,0 = Local Control / 1 = Remote Control,Cyclic in operation,1 s
DB SEND/RECV COOLER 5.SEND.TIMES.MIN_RUN_TIME,Time,%DB165.DBD214,COOLER MINIMUM RUN TIME,Cyclic in operation,1 s
DB LV GEN POWER METER.M5_PAC3200.PF1,Real,%DB201.DBD72,POWER FACTOR PHASE 1,Cyclic in operation,1 s
IDB CP13 FILT DISCH FAN.Status.StatusWord,Int,%DB130.DBW22,Motor Status Word,Cyclic in operation,1 s
DB ALARMS TO SCADA.ANALOGUE.HIHI.WORD7,Int,%DB12.DBW34,HIGH HIGH ALARMS - WORD 7,Continuous,1 s
DB SETPOINTS.TIMERS.BURNER.BURN_PRESS_ALM,Int,%DB40.DBW938,COMBUSTION CHAMBER VACUUM (PRESSURE) ALARM FAULT THRESHOLD TIME (SEC) ,Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.FILTER.RES_SILO_ARM_EXT,Bool,%DB1.DBX29.3,RESIDUE SILO ARM MANUAL EXTEND SELECT (SCADA),Cyclic in operation,1 s
DB MISCELLANEOUS.INTEGERS.FILTER.BH_VIB_STAT,Int,%DB1.DBW246,BICARB HOPPER VIBRATOR STATUS,Cyclic in operation,1 s
DB SYSTEM CONTROL.WOOD_FEED.STOP.TIMERS.LEV_SCREW_1MTR02,S5Time,%DB30.DBW114,LEVELLING SCREW,Cyclic in operation,1 s
DB PROCESS VALUES.MISCELLANEOUS.TURBINE_2.CURR_L1,Real,%DB42.DBD1424,CURRENT L1,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.SOOTBLOWERS.CP8_2SW11,Bool,%DB45.DBX12.6,CP8 ECONOMISER SOOTBLOWER 2 RETRACTED PROXIMITY SWITCH,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_1_PID_FLOW_OUT_1,Real,%DB40.DBD92,STOKER PID AIR FLOW OUTPUT 1,Cyclic in operation,1 s
DB ALARMS.ANALOGUE.OPN_SHT.WORD2.CP13R4_8LO01,Bool,%DB11.DBX11.5,CP13 RACK 4 BICARB SILO LOAD CELL WEIGHT,Cyclic in operation,1 s
DB SYSTEM CONTROL.FILTER.START.TIMERS.UREA_SKID,S5Time,%DB30.DBW158,UREA DeNOx SKID,Cyclic in operation,1 s
CP1 M4 PAC3200 RX OK,Bool,%M200.0,CP1 DATA RECEIVED OK FROM M4 LV GRID POWER METER,Cyclic in operation,1 s
IDB ST HYD PUMP 1 PBUS.Control.RefSpeed,Real,%DB500.DBD32,Drive Speed Reference in Percentage (%),Cyclic in operation,1 s
IDB CP13 FILTER SCREW B.Status.StatusWord,Int,%DB127.DBW22,Motor Status Word,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_2_OBSTR_PRESET,Real,%DB40.DBD24,STOKER 2 OBSTRUCTION ALARM COUNTER PRESET,Cyclic in operation,1 s
IDB CP13 FILTER SEAL B.Rem_Cmds.RunFwd,Bool,%DB129.DBX18.1,0 = Stop / 1 = Run Forward,Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.SOOTBLOWERS.ECONOM_3_RET,Bool,%DB1.DBX20.4,CP8 ECONOMISER SOOTBLOWER 3 MANUAL RETRACT SELECT (SCADA),Cyclic in operation,1 s
DB SETPOINTS.PID.FEED_WTR_TANK_PRDS_CTRL.GAIN,Real,%DB40.DBD1182,P TERM (GAIN),Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_3_PID_FLOW_4,Real,%DB40.DBD292,STOKER PID AIR FLOW POINT 4,Cyclic in operation,1 s
8MTR07_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.BURNER.CP18_K96,Bool,%DB45.DBX14.6,CP18 MOVING GRATE 2 FORWARD SOLENOID 1CV18 (LOWER LEFT),Cyclic in operation,1 s
11RMC4F_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP7_U75.LO,Real,%DB41.DBD584,LOW ALARM SETPOINT,Cyclic in operation,1 s
IDB BICARB FEEDER PBUS.Status.ErrorCode,Int,%DB516.DBW46,Last Trip Code,Cyclic in operation,1 s
DB SETPOINTS.PID.TEMP_CTRL_STEAM_OUT.MAN_AUTO,Bool,%DB40.DBX1618.0,PID MANUAL/AUTO MODE (1=MANUAL) (MAN_ON),Cyclic in operation,1 s
DB SYSTEM CONTROL.WOOD_FEED.START.BITS.ED_CURR_SEP_1GR01,Bool,%DB30.DBX74.1,EDDY CURRENT SEPARATOR,Cyclic in operation,1 s
DB CP12 TURBINE.BLOCK2.BEARING_TEMP_1,DInt,%DB400.DBD100,TURBINE BEARING TEMPERATURE POS 84.1 DEG C (x100),Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.BURNER.GRATE_2_MAN_MD,Bool,%DB1.DBX37.4,CP3 GRATE 2 TRAVERSE MANUAL MODE SELECT (SCADA),Cyclic in operation,1 s
IDB CP13 BS AGITATOR.Rem_Cmds.RemoteCtrl,Bool,%DB139.DBX18.0,0 = Local Control / 1 = Remote Control,Cyclic in operation,1 s
DB SETPOINTS.TIMERS.SOOTBLOWERS.SOOTB_INTERVAL,Int,%DB40.DBW1010,INTERVAL TIMER BETWEEN SOOTBLOWERS (x10 SEC),Cyclic in operation,1 s
DB ALARM SETPOINTS.CP13R4_8IN02.LO,Real,%DB41.DBD1224,LOW ALARM SETPOINT,Cyclic in operation,1 s
8CS01_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB MV TURB POWER METER.KVAr1,Real,%DB202.DBD140,REACTIVE POWER PHASE 1 (KVAr),Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_3_PID_FLOW_5,Real,%DB40.DBD296,STOKER PID AIR FLOW POINT 5,Cyclic in operation,1 s
IDB CP3 DISTRIB SCREW DP.Load,Real,%DB541.DBD4,Motor Load in Percentage (%),Cyclic in operation,1 s
DB PROCESS VALUES.ANALOGUE.INSTRUMENTS.CP19_2PT03,Real,%DB42.DBD344,CP19 SUPERHEATER 2 STEAM OUTLET PRESSURE (4-20mA = 0-63 Bar),Cyclic in operation,1 s
DB ALARM SETPOINTS.CP19_2PT03.HYST,Real,%DB41.DBD2768,ALARM HISTERESYS,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.SOOTBLOWERS.CP8_2SW06,Bool,%DB45.DBX11.3,CP8 BOILER SOOTBLOWER 1 EXTENDED PROXIMITY SWITCH,Cyclic in operation,1 s
DB ALARMS TO SCADA.COOLERS.COOLER5.WORD1,Int,%DB12.DBW146,COOLER 5 ALARMS - WORD 1,Continuous,1 s
DB SYSTEM CONTROL.FILTER.GENERAL.START_COND,Bool,%DB30.DBX144.3,STARTING CONDITIONS,Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.SOOTBLOWERS.SOOTB_CYCLE_TMR_EN,Bool,%DB1.DBX21.7,SOOTBLOWERS CYCLE TIMER ENABLE (SCADA),Cyclic in operation,1 s
DB SYSTEM CONTROL.GENERAL.OP_MODES.OP_MODE_3,Bool,%DB30.DBX8.3,SYSTEM IN OPERATION MODE 3 (PRE-HEAT),Cyclic in operation,1 s
DB ALARM SETPOINTS.CP13R4_1FT03.HYST,Real,%DB41.DBD1424,ALARM HISTERESYS,Cyclic in operation,1 s
IDB FEED PUMP 2 PBUS.Send.ControlWord,Word,%DB509.DBW8,Control Word,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP17_4PLT03.LOLO,Real,%DB41.DBD1996,LOW LOW ALARM SETPOINT,Cyclic in operation,1 s
