Name,DataType,Address,Comment [en-GB],Acquisition mode,Acquisition cycle
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_3_PID_FLOW_2,Real,%DB40.DBD284,STOKER PID AIR FLOW POINT 2,Cyclic in operation,1 s
DB CP12 TURBINE.BLOCK5.ALARM103,Bool,%DB400.DBX236.7,MECHANICAL TRIP,Cyclic in operation,1 s
3VAS02_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB SETPOINTS.PID.FEED_PUMP.RAMP_RATE,Real,%DB40.DBD1862,RAMP TO SETPOINT RATE,Cyclic in operation,1 s
DB LV GRID POWER METER.M4_PAC3200.V1_N,Real,%DB200.DBD0,VOLTS PHASE 1 TO NEUTRAL (VOLTS),Cyclic in operation,1 s
DB ALARMS.ANALOGUE.LOLO.WORD4.CP17_4LC02,Bool,%DB11.DBX71.1,CP17 DEAERATOR WATER LEVEL TRANSDUCER (4-20mA = 0-100%),Cyclic in operation,1 s
DB ALARM SETPOINTS.CP19_2LT01.HYST,Real,%DB41.DBD2672,ALARM HISTERESYS,Cyclic in operation,1 s
DB SEND/RECV COOLER 1.SEND.ALARM_SETPOINTS.CIRC_WATER_TEMP_HIHI,Real,%DB161.DBD182,CIRCULATION WATER OUTLET TEMPERATURE HIGH HIGH ALARM,Cyclic in operation,1 s
DB PROCESS VALUES.EMISSIONS.CO_Mg_m3,Real,%DB42.DBD804,CARBON MONOXIDE CO (Mg/m3),Continuous,1 s
DB MV TURB POWER METER.KVAtot,Real,%DB202.DBD152,TOTAL APPARANT POWER (KVA),Cyclic in operation,1 s
DB SETPOINTS.PID.BICARB_FEED_HCL.OP_SCALE,Real,%DB40.DBD2116,OUTPUT SCALE FACTOR (LMN_FAC),Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.BURNER.CP18_K951,Bool,%DB45.DBX14.1,CP18 MOVING GRATE 1 FORWARD SOLENOID 1CV17 (UPPER RIGHT),Cyclic in operation,1 s
IDB CP13 ID FAN A.Rem_Cmds.RunFwd,Bool,%DB131.DBX18.1,0 = Stop / 1 = Run Forward,Cyclic in operation,1 s
S7_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB SAFETY.RECV.OS13d_ESPB_OK,Bool,%DB44.DBX3.0,BICARB LOADING STATION OS13d EM STOP P/BUTTON HEALTHY (1=HEALTHY),Cyclic in operation,1 s
IDB CP13 RECIRC AIR FAN.Status.StatusWord,Int,%DB145.DBW22,Motor Status Word,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_3_PID_FAN_SPD_OUT_4,Real,%DB40.DBD272,STOKER PID AIR FAN SPEED OUTPUT 4,Cyclic in operation,1 s
4CV05_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB PROCESS VALUES.PID.FEED_WTR_TANK_TEMP_CTRL.RAMP_ACTV,Bool,%DB42.DBX1920.0,RAMP ACTIVE,Cyclic in operation,1 s
DB SETPOINTS.PID.SECOND_FAN.RAMP_RATE,Real,%DB40.DBD1402,RAMP TO SETPOINT RATE,Cyclic in operation,1 s
IDB CP6 WATER TREATMENT.Status.StatusWord,Int,%DB189.DBW22,Motor Status Word,Cyclic in operation,1 s
DB SETPOINTS.PID.BICARB_FEED.SP,Real,%DB40.DBD1766,INTERNAL SETPOINT,Cyclic in operation,1 s
IDB CP7 MN FEED PUMP.Rem_Cmds.RunFwd,Bool,%DB180.DBX18.1,0 = Stop / 1 = Run Forward,Cyclic in operation,1 s
DB SEND/RECV COOLER 6.RECV.ADIABATIC.STATUS,Int,%DB166.DBW30,ADIABATIC SYSTEM STATUS,Cyclic in operation,1 s
DB ALARMS.ANALOGUE.OPN_SHT.WORD2.CP13R4_U113_DP,Bool,%DB11.DBX11.3,CP13 RACK 4 FILTER 1 DIFFERENTIAL PRESSURE,Cyclic in operation,1 s
DB PROCESS VALUES.MISCELLANEOUS.TURBINE.POWER,Real,%DB42.DBD1116,TURBINE POWER,Cyclic in operation,1 s
STOKER_PMP_SHOW,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB SETPOINTS.PID.BOILER_FEED_WATER_VLV.OP_SCALE,Real,%DB40.DBD1242,OUTPUT SCALE FACTOR (LMN_FAC),Cyclic in operation,1 s
IDB CP2 HYD PUMP HTR.Rem_Cmds.RunFwd,Bool,%DB102.DBX18.1,0 = Stop / 1 = Run Forward,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP17_8LT04.HIHI,Real,%DB41.DBD1632,HIGH HIGH ALARM SETPOINT,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.BURNER.GRT_2_PID_FLOW_OUT_4,Real,%DB40.DBD520,GRATE PID AIR FLOW OUTPUT 4,Cyclic in operation,1 s
DB SETPOINTS.PID.TEMP_CTRL_STEAM_OUT.OP_SCALE,Real,%DB40.DBD1610,OUTPUT SCALE FACTOR (LMN_FAC),Cyclic in operation,1 s
IDB CP3 SCR CHN SLID VLV.Status.StatusWord,Int,%DB105.DBW22,Motor Status Word,Cyclic in operation,1 s
DB PROCESS VALUES.PID.BICARB_FEED.PID_ACTV,Bool,%DB42.DBX1950.1,PID CONTROLLER ACTIVE,Cyclic in operation,1 s
DB SEND/RECV COOLER 5.SEND.ALARM_SETPOINTS.CIRC_WATER_TEMP_LO,Real,%DB165.DBD190,CIRCULATION WATER OUTLET TEMPERATURE LOW ALARM,Cyclic in operation,1 s
DB SETPOINTS.PID.STOKER_1.CYCLE_TIME,Int,%DB40.DBW1452,SAMPLE TIME (CYCLE),Cyclic in operation,1 s
STRT UREA SKID,Timer,%T114,UREA DeNOx SKID START DELAY TIMER,Cyclic in operation,1 s
DB SEND/RECV COOLER 4.SEND.GENERAL.REMOTE_AUTO,Bool,%DB164.DBX70.6,0 = REMOTE MANUAL / 1 = REMOTE AUTO,Cyclic in operation,1 s
DB SETPOINTS.PID.FEED_WTR_TANK_TEMP_CTRL.OP_MAX,Real,%DB40.DBD1740,OUTPUT MAX VALUE (LMN_HLM),Cyclic in operation,1 s
DB PROCESS VALUES.MISCELLANEOUS.BURNER.MODE9_HOURS,Real,%DB42.DBD1252,BURNER MODE 9 COUNTDOWN TIME - HOURS,Cyclic in operation,1 s
DB SETPOINTS.TIMERS.EMISSIONS.WID_LIMIT_SP_MINS,Int,%DB40.DBW930,SETPOINT FOR WOOD FEED SUSPENSION DUE TO WID LIMIT EXCEEDED (MINS),Cyclic in operation,1 s
DB SYSTEM CONTROL.WOOD_FEED.STOP.TIMERS.EN_MASSE_CHN_1MTR09,S5Time,%DB30.DBW122,EN-MASSE CHAIN CONVEYOR,Cyclic in operation,1 s
DB MV TURB POWER METER.M6_PAC3200.V1_N,Real,%DB202.DBD0,VOLTS PHASE 1 TO NEUTRAL (VOLTS),Cyclic in operation,1 s
DB CP12 TURBINE.BLOCK2.GEN_COOLING_TEMP,DInt,%DB400.DBD92,GEN. COOLING TEMPERATURE DEG C (x100),Cyclic in operation,1 s
DB CP12 TURBINE.BLOCK3.BEARING_TEMP_9,DInt,%DB400.DBD132,TURBINE BEARING TEMPERATURE POS 84.9 DEG C (x100),Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.PUSH_FLOOR.CP2_OBSTR_PRESET,Real,%DB40.DBD0,PUSH FLOOR OBSTRUCTION ALARM COUNTER PRESET,Cyclic in operation,1 s
DB SEND/RECV COOLER 4.SEND.ALARM_SETPOINTS.CIRC_WATER_TEMP_HI,Real,%DB164.DBD186,CIRCULATION WATER OUTLET TEMPERATURE HIGH ALARM,Cyclic in operation,1 s
DB CP12 TURBINE.BLOCK2.BEARING_TEMP_3,DInt,%DB400.DBD108,TURBINE BEARING TEMPERATURE POS 84.3 DEG C (x100),Cyclic in operation,1 s
DB SYSTEM CONTROL.GENERAL.MAIN_CTRL.AUTORUN_AVAIL,Bool,%DB30.DBX0.0,SYSTEM AUTO START AVAILABLE,Cyclic in operation,1 s
DB SCADA DATA.DWORD_DATA.SD_CHLORINE_IN,Real,%DB45.DBD108,CHLORINE CONTENT FROM SULPHUR DOSING PLANT,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.FEED_LINE.CP18_K941,Bool,%DB45.DBX7.3,CP18 STOKER 2 REVERSE RUN RELAY,Cyclic in operation,1 s
CP8 SOOTB CYC HOLD,Bool,%M88.5,CP8 CONDITIONS TO HOLD SOOTHING CYCLE,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.BURNER.OIL_BURNER_CUTOFF_TEMP,Real,%DB40.DBD416,RESIDENCE CHAMBER AUX BURNER DISABLE TEMPERATURE (DEG C),Cyclic in operation,1 s
DB SETPOINTS.PID.FEED_PUMP.OP_OFFSET,Real,%DB40.DBD1890,OUTPUT OFFSET (LMN_OFF),Cyclic in operation,1 s
DB SETPOINTS.PID.BICARB_FEED_HCL.SP,Real,%DB40.DBD2088,INTERNAL SETPOINT,Cyclic in operation,1 s
IDB CP13 PRIM AIR FAN.Rem_Cmds.RemoteCtrl,Bool,%DB146.DBX18.0,0 = Local Control / 1 = Remote Control,Cyclic in operation,1 s
DB SYSTEM CONTROL.GENERAL.MODE_NB.EXEC_MODE_REQ,Int,%DB30.DBW24,EXECUTIVE OVERRIDE OPERTION MODE NUMBER REQUESTED,Cyclic in operation,1 s
1MTR10_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB SEND/RECV COOLER 4.SEND.ALARM_SETPOINTS.CIRC_WATER_TEMP_LO,Real,%DB164.DBD190,CIRCULATION WATER OUTLET TEMPERATURE LOW ALARM,Cyclic in operation,1 s
DB SETPOINTS.TIMERS.BURNER.BURN_PRESS_TRIP,Int,%DB40.DBW940,COMBUSTION CHAMBER VACUUM (PRESSURE) TRIP FAULT THRESHOLD TIME (SEC) ,Cyclic in operation,1 s
DB PROCESS VALUES.PID.FEED_PUMP.CURR_SP,Real,%DB42.DBD2012,CURRENT RAMP SETPOINT,Cyclic in operation,1 s
DB CP12 TURBINE.BLOCK2.U_WIND_TEMP,DInt,%DB400.DBD68,WINDING TEMPERATURE U DEG C (x100),Cyclic in operation,1 s
IDB PLC.Profibus.Nodes.Node_5,Bool,%DB2.DBX294.4,Profibus Node,Cyclic in operation,1 s
IDB GR HYD PUMP 1 PBUS.Status.ErrorCode,Int,%DB503.DBW46,Last Trip Code,Cyclic in operation,1 s
DB SETPOINTS.PID.RECIRC_FAN.RAMP_RATE,Real,%DB40.DBD1310,RAMP TO SETPOINT RATE,Cyclic in operation,1 s
IDB CP8 ECONOM SOOTBLO 2.Status.StatusWord,Int,%DB122.DBW22,Motor Status Word,Cyclic in operation,1 s
IDB CP7 SB FEED PUMP.Rem_Cmds.RunFwd,Bool,%DB181.DBX18.1,0 = Stop / 1 = Run Forward,Cyclic in operation,1 s
DB MISCELLANEOUS.INTEGERS.WOOD_FEED.STK_1_PID_SEL_PV,Int,%DB1.DBW174,"CP3 STOKER 1 FEED PID (0 = STANDARD, 1 = LAMBDA, 2 = FAN SPEED, 3 = AIR FLOW)",Cyclic in operation,1 s
STOP 1GR01,Timer,%T44,CP22 EDDY CURRENT SEPARATOR STOP DELAY TIMER,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_3_PID_FLOW_OUT_3,Real,%DB40.DBD308,STOKER PID AIR FLOW OUTPUT 3,Cyclic in operation,1 s
1MTR04_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP19_3EM01.HIHI,Real,%DB41.DBD2944,HIGH HIGH ALARM SETPOINT,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.FEED_LINE.CP18_1SW11,Bool,%DB45.DBX7.1,CP18 STOKER 1 REVERSE PROXIMITY SWITCH,Cyclic in operation,1 s
IDB PLC.Profibus.Nodes.Node_39,Bool,%DB2.DBX298.6,Profibus Node,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_1_SPD_MIN,Real,%DB40.DBD132,STOKER MINIMUM SPEED,Cyclic in operation,1 s
DB SETPOINTS.PID.OIL_BURNER.MAN_AUTO,Bool,%DB40.DBX1710.0,PID MANUAL/AUTO MODE (1=MANUAL) (MAN_ON),Cyclic in operation,1 s
DB SETPOINTS.PID.PRESS_CTRL_STEAM_OUT.OP_MAX,Real,%DB40.DBD1648,OUTPUT MAX VALUE (LMN_HLM),Cyclic in operation,1 s
IDB CP7 LIFT PUMP 2.Rem_Cmds.RemoteCtrl,Bool,%DB183.DBX18.0,0 = Local Control / 1 = Remote Control,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.BURNER.RC_WOOD_BURN_TEMP,Real,%DB40.DBD404,RESIDENCE CHAMBER MIN TEMPERATURE FOR WOOD BURNING (DEG C),Cyclic in operation,1 s
DB SETPOINTS.TIMERS.SOOTBLOWERS.SHEAT_2_NB_1,Int,%DB40.DBW1014,SUPERHEATER SOOTBLOWER 2 NUMBER 1,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP19_2TT01.LOLO,Real,%DB41.DBD3020,LOW LOW ALARM SETPOINT,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP19_2LT01.HI,Real,%DB41.DBD2660,HIGH ALARM SETPOINT,Cyclic in operation,1 s
IDB CP7 LIFT PUMP 2.Status.StatusWord,Int,%DB183.DBW22,Motor Status Word,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP19_2PSZ02.HYST,Real,%DB41.DBD2800,ALARM HISTERESYS,Cyclic in operation,1 s
DB SETPOINTS.PID.RECIRC_FAN.MANUAL_VAL,Real,%DB40.DBD1316,PID OUTPUT IN MANUAL (MAN),Cyclic in operation,1 s
DB SYSTEM CONTROL.WOOD_FEED.START.BITS.EN_MASSE_CHN_1MTR09,Bool,%DB30.DBX74.0,EN-MASSE CHAIN CONVEYOR,Cyclic in operation,1 s
IDB GR HYD PUMP 2 PBUS.Control.RefSpeed,Real,%DB504.DBD32,Drive Speed Reference in Percentage (%),Cyclic in operation,1 s
DB ALARM SETPOINTS.CP18_1TT02.HIHI,Real,%DB41.DBD2336,HIGH HIGH ALARM SETPOINT,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.BOILER.CP7_PLANT_PUMP_START_SP,Real,%DB40.DBD640,TREATED WATER TANK WATER PRESSURE TO START PLANT PUMP SETPOINT (Bar),Cyclic in operation,1 s
8MTR03_SO2_PID_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB SETPOINTS.PID.HI_TEMP_CTRL_STEAM.GAIN,Real,%DB40.DBD1504,P TERM (GAIN),Cyclic in operation,1 s
IDB CP8 ECONOM SOOTBLO 3.Status.StatusWord,Int,%DB123.DBW22,Motor Status Word,Cyclic in operation,1 s
3HP01_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
IDB CP12 TURBINE COOL DP.Load,Real,%DB537.DBD4,Motor Load in Percentage (%),Cyclic in operation,1 s
DB SYSTEM CONTROL.GENERAL.OP_MODES.OP_MODE_6,Bool,%DB30.DBX8.6,SYSTEM IN OPERATION MODE 6 (TICK-OVER),Cyclic in operation,1 s
DB PROCESS VALUES.MISCELLANEOUS.TURBINE.GEN_OUT_TEMP,Real,%DB42.DBD1136,GENERATOR OUTLET TEMPERATURE,Cyclic in operation,1 s
DB PROCESS VALUES.ANALOGUE.INSTRUMENTS.CP19_2TT01,Real,%DB42.DBD376,CP19 TEMPERATURE BEFORE DESUPERHEATER (TC) (???-??? ºC),Cyclic in operation,1 s
DB MISCELLANEOUS.INTEGERS.FILTER.FILT1_IN_VLV_STAT,Int,%DB1.DBW222,FILTER 1 INLET VALVE STATUS,Cyclic in operation,1 s
CP2 PUSH FLR AT REV,Bool,%M54.6,CP2 PUSH FLOOR FULLY REVERSE DETECTED,Cyclic in operation,1 s
DB SETPOINTS.PID.SECOND_FAN.DERIVATIVE,Time,%DB40.DBD1436,<No Value>,Cyclic in operation,1 s
DB ALARMS.ANALOGUE.OPN_SHT.WORD6.CP19_2CV02_POS,Bool,%DB11.DBX19.0,CP19 SUPERHEATER BLOW OUT VALVE ACTUAL POSITION,Cyclic in operation,1 s
DB SYSTEM CONTROL.GENERAL.MODE_STATUS.EXEC_OPMODE_8_STAT,Int,%DB30.DBW48,"EXECUTIVE OVERRIDE MODE 8 STATUS (0=NOT SEL, 1=REQ, 2=REQ & ACHIEVED)",Cyclic in operation,1 s
IDB ID FAN A PBUS.Status.Load,Real,%DB511.DBD50,Drive Load in Percentage (%),Cyclic in operation,1 s
IDB CP3 STOKER HYD PMP 3.Status.Running,Bool,%DB114.DBX20.7,Motor Running,Cyclic in operation,1 s
DB SYSTEM CONTROL.FILTER.START.BITS.UREA_SKID,Bool,%DB30.DBX148.4,UREA DeNOx SKID,Cyclic in operation,1 s
DB ALARMS TO SCADA.ANALOGUE.LOLO.WORD7,Int,%DB12.DBW76,LOW LOW ALARMS - WORD 7,Continuous,1 s
8MTR06_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB ALARMS TO SCADA.ESTOPS.WORD2,Int,%DB12.DBW80,EMERGENCY STOP ALARMS - WORD 2,Continuous,1 s
DB ALARMS.ANALOGUE.OPN_SHT.WORD3.CP13R4_8IN02,Bool,%DB11.DBX12.6,CP13 RACK 4 RESIDUE SILO HEPA FILTER PRESSURE,Cyclic in operation,1 s
DB SAFETY.SEND.GRID_SUPPLY_ON,Bool,%DB44.DBX81.0,Main Switch Closed,Cyclic in operation,1 s
DB PROCESS VALUES.ANALOGUE.INSTRUMENTS.CP7_U75,Real,%DB42.DBD72,CP7 BOILER TOTAL DISOLVED SOLIDS CONDUCTIVITY (4-20mA = 0-9990uS/cm),Cyclic in operation,1 s
IDB CP13 ID FAN A.Status.StatusWord,Int,%DB131.DBW22,Motor Status Word,Cyclic in operation,1 s
DB SETPOINTS.PID.FEED_PUMP.INTEGRAL,Int,%DB40.DBW1876,I TERM (TI),Cyclic in operation,1 s
DB SETPOINTS.PID.HI_PRESS_CTRL_STEAM.INTEGRAL,Int,%DB40.DBW1554,I TERM (TI),Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_1_PID_FLOW_1,Real,%DB40.DBD72,STOKER PID AIR FLOW POINT 1,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_1_PID_LAMBDA_MIN,Real,%DB40.DBD116,STOKER PID AIR LAMBDA MINIMUM SCALING VALUE,Cyclic in operation,1 s
DB SETPOINTS.PID.BOILER_FEED_WATER_VLV.MANUAL_VAL,Real,%DB40.DBD1224,PID OUTPUT IN MANUAL (MAN),Cyclic in operation,1 s
DB ALARM SETPOINTS.CP17_4FT01.HI,Real,%DB41.DBD1956,HIGH ALARM SETPOINT,Cyclic in operation,1 s
DB SYSTEM CONTROL.FILTER.STOP.TIMERS.FILTER_PLANT,S5Time,%DB30.DBW192,BAG FILTER PLANT AND PULSE CONTROLLERS,Cyclic in operation,1 s
3SL01_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP2_1TS06.HYST,Real,%DB41.DBD80,ALARM HISTERESYS,Cyclic in operation,1 s
IDB REC AIR FAN PBUS.Status.ErrorCode,Int,%DB515.DBW54,Last Trip Code,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.PUSH_FLOOR.CP2_K94,Bool,%DB45.DBX4.1,CP2 PUSH FLOOR FORWARD RUN RELAY,Cyclic in operation,1 s
Stoker3PID_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB MISCELLANEOUS.INTEGERS.PUSH_FLOOR.STATUS,Int,%DB1.DBW108,CP2 PUSH FLOOR SOLENOIDS STATUS (SCADA DISPLAY),Cyclic in operation,1 s
DB LV GEN POWER METER.M5_PAC3200.V1_N,Real,%DB201.DBD0,VOLTS PHASE 1 TO NEUTRAL (VOLTS),Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.BURNER.O2_PURGE_MD,Bool,%DB1.DBX38.7,O2 METER PURGE MANUAL MODE SELECT (SCADA),Cyclic in operation,1 s
ALARMS OK,Bool,%M30.1,SYSTEM ALARMS HEALTHY,Cyclic in operation,1 s
DB SETPOINTS.PID.PRESS_CTRL_STEAM_OUT.CYCLE_TIME,Int,%DB40.DBW1636,SAMPLE TIME (CYCLE),Cyclic in operation,1 s
DB ALARMS.ANALOGUE.OPN_SHT.WORD6.CP19_2LT01,Bool,%DB11.DBX18.3,CP19 DP CELL WATER LEVEL,Cyclic in operation,1 s
DB PROCESS VALUES.ANALOGUE.INSTRUMENTS.CP17_4PT01,Real,%DB42.DBD216,CP17 DEAERATOR PRESSURE TRANSDUCER (4-20mA = xx Bar),Cyclic in operation,1 s
DB CP12 TURBINE.BLOCK5.ALARM102,Bool,%DB400.DBX236.6,MECHANICAL ALARM,Cyclic in operation,1 s
ID FAN VENTIL MD,Bool,%M106.1,ID FANS IN VENTILATION MODE,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.LEV_AUG_I_THRESHOLD,Real,%DB40.DBD16,LEVELLING AUGER OVERCURRENT THRESHOLD (% LOAD),Cyclic in operation,1 s
IDB ST HYD PUMP 1 PBUS.Status.ActualSpeed,Real,%DB500.DBD38,Actual Speed in Percentage (%),Cyclic in operation,1 s
STOP 1HP01,Timer,%T40,CP2 PUSH FLOOR TRAVEL SOLENOIDS STOP DELAY TIMER,Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.WOOD_FEED.ENMASS_CONV_ROT_SENS_OFF,Bool,%DB1.DBX4.2,CP3 EN-MASSE CHAIN CONVEYOR ROTATION SENSOR DISABLE (SCADA),Cyclic in operation,1 s
DB ALARM SETPOINTS.CP13R4_3TI01a.HYST,Real,%DB41.DBD1008,ALARM HISTERESYS,Cyclic in operation,1 s
DB SEND/RECV COOLER 2.SEND.TIMES.ADIABATIC_MIN_RUN_TIME,Time,%DB162.DBD218,COOLER ADIABATIC SYSTEM MINIMUM RUN TIME,Cyclic in operation,1 s
DB SCADA DATA.DWORD_DATA.SD_BOILER_OUTPUT,Real,%DB45.DBD104,BOILER OUTPUT FOR SULPHUR DOSING PLANT,Cyclic in operation,1 s
S11_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB SEND/RECV COOLER 1.SEND.GENERAL.REMOTE_AUTO,Bool,%DB161.DBX70.6,0 = REMOTE MANUAL / 1 = REMOTE AUTO,Cyclic in operation,1 s
DB ALARMS.ANALOGUE.LO.WORD4.CP17_8LT04,Bool,%DB11.DBX56.3,CP17 TREATED WATER TANK LEVEL TRANSDUCER (4-20mA = 0-100%),Cyclic in operation,1 s
DB ALARMS.PROCESS.WORD2.STK_2_JAMMED,Bool,%DB11.DBX106.5,CP3 STOKER 2 JAMMED ALARM,Cyclic in operation,1 s
DB MISCELLANEOUS.INTEGERS.FILTER.BS_VIB_STAT,Int,%DB1.DBW244,BICARB SILO VIBRATOR STATUS,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP13R4_3TI01c.HI,Real,%DB41.DBD1124,HIGH ALARM SETPOINT,Cyclic in operation,1 s
DB PROCESS VALUES.PID.ID_FAN.RAMP_ACTV,Bool,%DB42.DBX1620.0,RAMP ACTIVE,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.FILTER.CP13R3_3MTR07_FWD,Bool,%DB45.DBX20.0,CP13 RACK 3 RESIDUE SILO TANKER LOADING BELLOWS RUN FORWARD,Cyclic in operation,1 s
IDB CP13 ID FAN B.Status.StatusWord,Int,%DB132.DBW22,Motor Status Word,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP19_2TSZ01.HI,Real,%DB41.DBD2628,HIGH ALARM SETPOINT,Cyclic in operation,1 s
1MTR17_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB SETPOINTS.PID.STOKER_1.OP_MIN,Real,%DB40.DBD1468,OUTPUT MIN VALUE (LMN_LLM),Cyclic in operation,1 s
DB PROCESS VALUES.PID.RECIRC_FAN.CURR_SP,Real,%DB42.DBD1652,CURRENT RAMP SETPOINT,Cyclic in operation,1 s
DB CP12 TURBINE.BLOCK2.BEARING_TEMP_A,DInt,%DB400.DBD84,GENERATOR BEARING TEMPERATURE A DEG C (x100),Cyclic in operation,1 s
DB ALARMS.COOLERS.COOLER5.WORD2.COMMS_FAULT,Bool,%DB11.DBX148.0,COMMUNICATION FAULT,Cyclic in operation,1 s
IDB CP7 LIFT PUMP 1.Rem_Cmds.RunFwd,Bool,%DB182.DBX18.1,0 = Stop / 1 = Run Forward,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP13R4_3PI01a.HI,Real,%DB41.DBD964,HIGH ALARM SETPOINT,Cyclic in operation,1 s
DB SETPOINTS.TIMERS.WOOD_FEED.STK_2_TRAV_MIN_TIMEOUT,Int,%DB40.DBW908,STOKER 2 TRAVERSE MINIMUM TIMEOUT TIME (SEC),Cyclic in operation,1 s
DB SYSTEM CONTROL.FILTER.STOP.TIMERS.UREA_SKID,S5Time,%DB30.DBW186,UREA DeNOx SKID,Cyclic in operation,1 s
WID_Cnt_Reset_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.FILTER.RC_BICARB_TEMP,Real,%DB40.DBD692,RESIDENCE CHAMBER MIN TEMPERATURE FOR SODIUM BICARB INJECTION (DEG C),Cyclic in operation,1 s
DB PROCESS VALUES.PID.FEED_PUMP.OUTPUT,Real,%DB42.DBD2028,OUTPUT VALUE,Cyclic in operation,1 s
IDB CP7 PLANT PUMP 1.Rem_Cmds.RunFwd,Bool,%DB187.DBX18.1,0 = Stop / 1 = Run Forward,Cyclic in operation,1 s
DB SEND/RECV COOLER 6.SEND.GENERAL.REMOTE_AUTO,Bool,%DB166.DBX70.6,0 = REMOTE MANUAL / 1 = REMOTE AUTO,Cyclic in operation,1 s
DB SEND/RECV COOLER 5.RECV.GENERAL.FANS_STATUS,Int,%DB165.DBW4,COOLER FANS STATUS,Cyclic in operation,1 s
DB ALARMS.ANALOGUE.LOLO.WORD4.CP17_8LT04,Bool,%DB11.DBX70.3,CP17 TREATED WATER TANK LEVEL TRANSDUCER (4-20mA = 0-100%),Cyclic in operation,1 s
Warning_Popup4,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
2MTR01_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
IDB CP3 GRATE HYD PMP 2.Status.StatusWord,Int,%DB116.DBW22,Motor Status Word,Cyclic in operation,1 s
DB CP12 TURBINE.BLOCK5.ALARM20,Bool,%DB400.DBX226.4,TURBINE N>0,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP17_4PT01.LOLO,Real,%DB41.DBD1740,LOW LOW ALARM SETPOINT,Cyclic in operation,1 s
DB SYSTEM CONTROL.WOOD_FEED.STOP.BITS.HYD_PWR_PACK_1MTR01,Bool,%DB30.DBX110.3,HYDRAULIC POWER PACK,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.BURNER.CP18_1SW43,Bool,%DB45.DBX14.5,CP18 GRATE 1 REVERSE SWITCH 2,Cyclic in operation,1 s
DB ALARMS TO SCADA.ANALOGUE.OPN_SHT.WORD7,Int,%DB12.DBW20,OPEN/SHORT CIRCUIT ALARMS - WORD 7,Continuous,1 s
DB SEND/RECV COOLER 5.RECV.GENERAL.WATCHDOG,Bool,%DB165.DBX0.0,<No Value>,Cyclic in operation,1 s
WARNING ACTIVE,Bool,%M30.3,SYSTEM WARNING ACTIVE,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_3_PID_FLOW_OUT_2,Real,%DB40.DBD304,STOKER PID AIR FLOW OUTPUT 2,Cyclic in operation,1 s
8CV01_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
